week,spend_google,spend_meta,spend_tiktok,spend_amazon,promo_flag,cash_sales,platform_reported_conversions
2024-05-06,18918,15474,8631,8075,0,221661.02871087275,5276
2024-05-13,20672,11229,7860,9601,0,210940.91081265526,4975
2024-05-20,14199,10271,10307,7617,0,189451.6846855757,4427
2024-05-27,16456,11762,6085,8961,0,194454.65350162413,3957
2024-06-03,15322,15954,11487,7167,0,197219.09410470567,3917
2024-06-10,15547,13660,8649,7375,0,206592.0127453954,4711
2024-06-17,13708,13051,12090,9319,0,195481.74191464,3956
2024-06-24,15273,15154,9318,7716,0,202441.43132298594,3896
2024-07-01,21762,17057,10011,10588,1,226072.83161363032,5328
2024-07-08,22712,10387,11916,8447,0,214539.6633306604,4533
2024-07-15,17298,18419,11694,12446,0,222313.42162371118,4625
2024-07-22,15978,12686,6795,7764,0,205198.83953838298,4332
2024-07-29,20521,14740,5691,7700,0,212417.72819586287,3981
2024-08-05,16118,11641,8911,8638,0,213428.4501955291,4593
2024-08-12,14042,10663,12482,9324,0,200323.95388886475,4072
2024-08-19,20089,14407,9548,7223,0,204807.2247635523,4060
2024-08-26,12659,15002,10541,7575,0,205772.44885637742,4557
2024-09-02,17528,10735,8777,6906,0,196318.28621259844,4023
2024-09-09,19010,14047,9047,6343,0,209256.61179155178,3872
2024-09-16,16426,14258,13793,7957,0,201063.65628874625,4779
2024-09-23,13116,11411,8374,8559,0,192113.55580934792,4459
2024-09-30,12570,13823,8961,7444,0,179783.10696093613,3716
2024-10-07,16471,10905,11721,7558,0,184419.6877813983,4065
2024-10-14,17988,11875,9542,7575,0,199930.6414932063,4949
2024-10-21,15404,12869,12301,7980,0,187682.88813980122,4094
2024-10-28,16766,16307,13228,7230,0,212295.34611809158,4577
2024-11-04,19116,13517,13037,8512,0,209659.87499484737,4312
2024-11-11,19985,16999,15309,9022,0,223430.7454242059,4910
2024-11-18,17637,14396,15019,8941,0,214119.0913355119,4512
2024-11-25,23118,24057,11745,11771,1,258093.5670130063,6303
2024-12-02,20790,19838,10278,11154,1,259090.51136977336,6979
2024-12-09,17249,13130,9775,9855,0,225743.04429931176,4370
2024-12-16,18217,18591,10224,9472,0,227934.02758729123,4667
2024-12-23,20470,18470,10169,9630,0,232240.01558285998,5528
