"","ds","dep_var","trend","season","holiday","competitor_sales_B","events","tv_S","ooh_S","print_S","facebook_I","search_clicks_P","newsletter","intercept","depVarHat","solID"
"32",2016-08-08,1485698.33333333,35190.0438345053,-59597.9406740039,0,494993.91422829,0,122228.584150145,106983.141695477,39227.4392171804,1307.75669748212,22494.8290652323,25515.8155108351,754684.272246818,1543027.85597196,"1_145_1"
"33",2016-08-15,1556608.33333333,35213.9812071327,-57617.01389011,0,477056.038258759,0,213037.550907083,69389.1178274546,20382.274847188,8990.3241051877,1343.49649657401,36073.1651954142,754684.272246818,1558553.2072015,"1_145_1"
"34",2016-08-22,1391206.66666667,35237.91857976,-22805.403823151,0,441733.268981105,0,137009.966188428,42786.8915529612,102796.591831933,6238.12156695304,74.3545395447902,40381.6276101822,754684.272246818,1538137.60927453,"1_145_1"
"35",2016-08-29,2018783.33333333,35261.8559523874,41035.9065202674,0,607581.785159179,0,201520.521089686,141129.03935388,67604.8998425606,64.8716382824473,22916.3438655183,7364.46048811949,754684.272246818,1879163.9561567,"1_145_1"
"36",2016-09-05,2170721.66666667,35285.7933219713,99077.2643134252,0,652437.093952954,0,216799.71236951,136733.195972584,70631.0100708355,454.624537318685,23055.6889285086,2426.6926536752,754684.272246818,1991585.3483676,"1_145_1"
"37",2016-09-12,2247670,35309.7306915551,124796.267882488,0,732408.604950503,0,139731.808070843,155758.588702993,40945.7672682387,4.66134366679064,36398.7077615812,8325.89455553673,754684.272246818,2028364.30347422,"1_145_1"
"38",2016-09-19,2192026.66666667,35333.668061139,127223.737834085,0,666465.021865461,0,86230.1777822831,123795.14417025,117791.92342936,99026.6245335265,41689.8068793091,18426.3389253848,754684.272246818,2070666.71572762,"1_145_1"
"39",2016-09-26,1895213.33333333,35357.6054307229,135342.133853544,0,617952.914867085,0,51687.7789315941,153038.696186191,82647.0078436994,1334.86930264451,27786.2358252619,4219.55205960027,754684.272246818,1864051.06654716,"1_145_1"
"40",2016-10-03,2232910,35381.5428003068,162063.926657357,21020.9628494883,640665.976438312,0,414833.859712553,151545.721381984,97484.2535531487,66565.811886566,35146.9410584832,13738.4994384016,754684.272246818,2393131.76802342,"1_145_1"
"41",2016-10-10,2406035,35405.4801698906,193304.174033298,0,772563.060232214,0,301813.539811885,104730.019905511,101899.586915106,89359.9694614184,51661.0702369473,42847.1839403738,754684.272246818,2448268.35695346,"1_145_1"
"42",2016-10-17,2252445,35429.417538841,213034.479617964,0,674603.584255949,0,376390.162299521,93604.1196165622,66764.647049631,138211.28716583,53720.2248638037,64976.4460199811,754684.272246818,2471418.6406749,"1_145_1"
"43",2016-10-24,2663125,35453.3549077914,228298.010562936,0,837151.435084731,0,267162.251237164,146289.648130506,94622.2716397812,151400.862873181,45270.4887545325,45773.6348051696,754684.272246818,2606106.23024261,"1_145_1"
"44",2016-10-31,2974771.66666667,35477.2922767418,259111.975427868,0,895352.559663924,0,383495.120567081,100322.663653574,60172.9832704174,174818.853674895,48742.8362523552,29692.6106775703,754684.272246818,2741871.16771124,"1_145_1"
"45",2016-11-07,2826128.33333333,35501.2296456922,305460.775883449,0,884792.894925444,0,273438.365703551,142648.151319971,99165.7454985549,156189.627688454,62849.3056537657,68390.9379024755,754684.272246818,2783121.30646817,"1_145_1"
"46",2016-11-14,3182900,35525.1670146426,336142.103713782,0,960168.639152199,0,321101.52360908,97308.5876726751,64242.0565470616,118979.652439963,4421.34307695872,51896.8773429766,754684.272246818,2744470.22281615,"1_145_1"
"47",2016-11-21,2964696.66666667,35549.104383593,319124.863266723,0,904553.109227164,0,241367.257481974,142831.418448699,88529.1211457221,194110.56352618,247.33487784964,46218.7549294991,754684.272246818,2727215.79953422,"1_145_1"
"48",2016-11-28,2848525,35573.0417525433,260381.619699669,0,935079.054451154,0,157800.243081516,97459.5170862671,81625.9062124028,128748.19202281,102184.785559985,71084.7810843414,754684.272246818,2624621.41319751,"1_145_1"
"49",2016-12-05,2740160,35596.5678235197,203880.900028062,0,824915.691920883,0,171791.272841369,165959.011962413,49317.5919398408,31192.6294187249,113015.089398731,167290.931725596,754684.272246818,2517643.95930596,"1_145_1"
"50",2016-12-12,2380508.33333333,35620.093894496,189039.174681549,0,791861.05315717,0,107923.625899469,117172.895272362,26508.359128026,39503.297592655,95451.5208566425,85958.2486339036,754684.272246818,2243722.54136309,"1_145_1"
"51",2016-12-19,2230915,35643.6199654724,211692.727169656,-196923.446080487,714012.915437015,0,65452.1933575727,184553.6028069,13218.314407697,11506.7091186354,82726.8795683287,18767.1212480617,754684.272246818,1895334.90924567,"1_145_1"
"52",2016-12-26,3659425,35667.1460364487,231036.755950663,615988.988242159,774411.244493142,0,371160.449988055,134043.913722289,6324.86641417612,147124.895943254,128169.688847391,2460.24396723632,754684.272246818,3201072.46585163,"1_145_1"
"53",2017-01-02,2827008.33333333,35690.672107425,212939.804331685,0,751167.840492659,0,345597.74055985,200996.507556849,119745.28610736,135642.395201003,107918.970517391,106129.486476464,754684.272246818,2770512.9755975,"1_145_1"
"54",2017-01-09,2042143.33333333,35714.1981784014,161394.171422535,0,682763.885276422,0,240603.667500197,149791.157860967,84755.8661324987,135701.968316691,111245.03032208,72298.1478057512,754684.272246818,2428952.36506236,"1_145_1"
"55",2017-01-16,2113358.33333333,35737.4274396184,107598.601124053,0,671293.702528967,0,182313.170856901,103251.220054457,66036.0184579201,127889.407072402,109921.908746302,108486.429176799,754684.272246818,2267212.15770424,"1_145_1"
"56",2017-01-23,2179918.33333333,35760.6567008354,75095.1640373002,0,701048.477367536,0,115214.713295887,66625.6245191736,97911.7858790766,210292.539524894,108799.125101059,48147.1400580992,754684.272246818,2213579.49873068,"1_145_1"
"57",2017-01-30,2370613.33333333,35783.8859620525,61075.9718236989,0,710995.854057733,0,246753.867856424,40934.512347919,63103.894638248,149707.210413452,118946.531969795,70124.2144482146,754684.272246818,2252110.21576435,"1_145_1"
"58",2017-02-06,1814556.66666667,35807.1152232695,48285.6760586758,0,605944.776160976,0,161831.465494841,24333.1500381961,35594.9947081643,2407.60114613089,82938.9045549429,14989.2169636943,754684.272246818,1766817.17259571,"1_145_1"
"59",2017-02-13,1951668.33333333,35830.3444844865,26050.2673855132,0,630159.90693966,0,101100.99734036,129156.580645168,18275.6503014744,197334.113387362,6401.47703145035,31100.3215107851,754684.272246818,1930093.93127308,"1_145_1"
"60",2017-02-20,1918238.33333333,35853.5737457036,-4238.57634859125,0,614856.512497252,0,61088.4804153132,86413.8198356612,95952.6903432768,3876.83140149091,360.608642391534,38409.7993484591,754684.272246818,1687258.01212778,"1_145_1"
"61",2017-02-27,1472390,35876.8030069206,-37969.6032507347,0,481060.454187108,0,36130.573081979,54501.5049968638,61348.9306968531,296552.959482186,39295.9062902256,63049.8538957194,754684.272246818,1784531.65463394,"1_145_1"
"62",2017-03-06,1477865,35897.4254800753,-72710.6485641865,0,469709.282925477,0,21090.9313550166,32963.2981088969,103947.92822711,10822.5510795669,68249.6638324744,30535.772634591,754684.272246818,1455190.47732584,"1_145_1"
"63",2017-03-13,1300166.66666667,35918.04795323,-104327.047358502,0,412665.114280451,0,104549.995797931,19399.2417450744,68692.671679581,113.831483342266,65284.2911735446,57597.215101748,754684.272246818,1414577.63410322,"1_145_1"
"64",2017-03-20,1160205,35938.6704263847,-125875.37761816,0,362481.436867535,0,63290.4112183461,11226.0718511251,112564.521761131,1.1661686954141,44620.5670161783,58359.5761289787,754684.272246818,1317291.31606703,"1_145_1"
"65",2017-03-27,1356871.66666667,35959.2928995394,-136694.639618938,0,448481.260298583,0,37476.5376423648,62522.1221510935,77180.0871100864,35139.39760987,68464.8565341751,70855.626491359,754684.272246818,1454068.81336495,"1_145_1"
"66",2017-04-03,1355833.33333333,35979.9153726941,-149240.138436955,0,453144.146341685,0,21892.0070175197,38208.4692003515,45848.7135551961,393.428341587261,49045.6490242227,10584.3679880356,754684.272246818,1260540.83065115,"1_145_1"
"67",2017-04-10,1176266.66666667,36000.5378458488,-178285.974889047,11157.9683203266,371775.652877951,0,12685.0104405232,200554.994575094,24355.1998866845,4.03328914861918,34041.3891050479,1724.62048387735,754684.272246818,1268697.70418227,"1_145_1"
"68",2017-04-17,1955281.66666667,36021.1603190035,-220455.032958729,580316.031164727,306332.859706747,0,83421.6900362756,149357.608257001,12062.3337335931,0.0413088071907411,33807.4764869514,8700.5386978412,754684.272246818,1744248.97899904,"1_145_1"
"69",2017-04-24,1029928.33333333,36038.2872115299,-250876.396753814,0,331523.524028329,0,49929.1696197261,184018.397409497,5751.51808376657,0.000423079269692037,31978.757474515,24036.5851035336,754684.272246818,1167084.11484698,"1_145_1"
"70",2017-05-01,2263143.33333333,36055.4141040563,-247772.960319761,200161.520544463,283189.533546616,0,223339.319116279,133544.782750335,2690.95235253464,4.33312077650142e-06,25492.9697090953,8837.66984119176,754684.272246818,1420223.47389596,"1_145_1"
"71",2017-05-08,813771.666666667,36072.5409965827,-219928.429825908,0,260946.507237586,0,144491.266148973,182636.210148053,1247.65582057472,4.43792380996202e-08,19008.3547761727,8594.27890867868,754684.272246818,1187752.65645758,"1_145_1"
"72",2017-05-15,880871.666666667,36089.6678891091,-202465.698764773,0,294573.062308181,0,89402.0847792555,132259.56547606,576.023697072079,4.54526166213277e-10,1120.64672992882,27369.428333535,754684.272246818,1133609.05269519,"1_145_1"
"73",2017-05-22,919185,36106.7947816355,-220804.412079446,-40876.7517320611,303036.702368282,0,53680.3299542956,113716.207235274,265.418274373916,74621.7313278892,61.9732387222698,36865.6685084091,754684.272246818,1111357.93412419,"1_145_1"
"74",2017-05-29,826321.666666667,36123.9216741619,-262218.241285294,0,268583.378112071,0,31625.1495743269,74447.6094203939,85612.8545322739,933.183576282777,11496.9241807399,11204.0260338769,754684.272246818,1012493.07806565,"1_145_1"
"75",2017-06-05,833798.333333333,36139.194486273,-288871.267768292,186967.179988705,261437.07899355,0,99169.8916069873,91505.8492938477,52530.7384690819,54833.1805922046,16282.694401412,2331.79474972181,754684.272246818,1267010.60706031,"1_145_1"
"76",2017-06-12,746271.666666667,36154.4672983841,-278522.31260449,0,249150.645752406,0,59859.1918748987,58109.9636048451,28548.8172098664,647.75199291954,21899.9978939103,2161.98344863395,754684.272246818,932694.778718191,"1_145_1"
"77",2017-06-19,1036406.66666667,36169.7401104952,-245884.665790245,0,315482.919548728,0,223820.61259053,35309.6345845191,14328.4431406895,405.830340308167,30301.7746742176,2343.77240900767,754684.272246818,1166962.33385507,"1_145_1"
"78",2017-06-26,927931.666666667,36185.0129226062,-220581.073058627,0,296834.681250927,0,144842.969583168,140382.914827104,74870.1577526219,4.16055536826294,23118.6013554835,499.169329985862,754684.272246818,1250840.86676546,"1_145_1"
"79",2017-07-03,1126943.33333333,36200.2857347173,-210003.51068666,0,349133.918055805,0,118241.802506311,95449.6600417458,95951.4084921377,159753.521602886,49234.7596749106,6179.77651650879,754684.272246818,1454825.89418518,"1_145_1"
"80",2017-07-10,1184220,36215.5585468284,-193030.763627135,0,395759.87332429,0,72113.3247102463,60939.0273081319,61347.7915582655,2671.38987643581,51180.2864545009,5095.6708765747,754684.272246818,1246976.43127496,"1_145_1"
"81",2017-07-17,1315508.33333333,36230.8313589395,-151334.242485713,0,380755.610444738,0,116166.943447796,124359.010313974,117641.916947986,27.5384660344503,47242.6913216763,1498.05284427299,754684.272246818,1427272.62490652,"1_145_1"
"82",2017-07-24,1279360,36241.0595429061,-97480.8503120012,0,427193.932284814,0,70767.8382494522,82639.803176961,82486.5782841871,0.28206409408765,49221.4635907101,13085.7369304079,754684.272246818,1418840.11605835,"1_145_1"
"83",2017-07-31,1455811.66666667,36251.2877268728,-62776.3140519887,0,443733.122761848,0,124320.168667288,156935.787287252,64317.7431807281,0.00288886435463702,55536.6429272909,11494.4253273011,754684.272246818,1584497.13896227,"1_145_1"
"84",2017-08-07,1553355,36261.5159108394,-58644.4056281523,0,492573.713482463,0,76072.5537607611,148632.988532654,94683.0175793797,2.95873589825307e-05,84522.8014106105,9350.34707959577,754684.272246818,1638136.80440456,"1_145_1"
"85",2017-08-14,1374855,36271.744094806,-59803.300072043,0,420630.76941123,0,219760.391259362,102279.240478556,60226.4005534305,3.03029736956762e-07,6574.08380043404,27860.0612669544,754684.272246818,1568483.66303985,"1_145_1"
"86",2017-08-21,1970110,36281.9722787727,-31828.8502425467,0,628719.347035483,0,141882.107713035,65910.5122748326,98754.566122434,13095.2909337813,370.557702354394,37072.4321377763,754684.272246818,1744942.20820274,"1_145_1"
"87",2017-08-28,2336431.66666667,36292.2004627393,28907.9154723834,0,702251.81572421,0,391922.223228834,40457.3468484271,63867.5549003538,9481.60773611872,96414.5896743305,87002.2782808114,754684.272246818,2211281.80457503,"1_145_1"
"88",2017-09-04,2002065,36290.6990105435,90736.9454403889,0,669113.127603083,0,280956.498101973,24035.0044835599,36124.6556353094,99.3954274888899,77915.241681599,59990.6183820577,754684.272246818,2029946.45801282,"1_145_1"
"89",2017-09-11,2027418.33333333,36289.1975583477,122635.313498734,0,590068.964521596,0,317433.607358171,137128.568755783,75425.0244078201,2161.53208774877,77654.6343508595,10301.3714914631,754684.272246818,2123782.48627734,"1_145_1"
"90",2017-09-18,1886570,36287.6961061518,127184.505285377,0,630101.102442876,0,217188.14582019,92800.2519504639,44511.1649346089,22.2548085621967,91726.634753991,20772.8482657952,754684.272246818,2015278.87661483,"1_145_1"
"91",2017-09-25,2529721.66666667,36286.194653956,132491.04583176,0,742385.934868192,0,357602.070579094,141920.485485889,23538.3854943434,36554.4749868014,122825.813888093,47598.5347895545,754684.272246818,2395887.2128245,"1_145_1"
"92",2017-10-02,2357930,36284.6932017602,156324.893567482,21020.9628494883,781295.678271642,0,427679.535009666,126330.789083091,11627.8945524922,410.813415308591,124188.611088648,77067.4273420492,754684.272246818,2516915.57062844,"1_145_1"
"93",2017-10-09,3003391.66666667,36283.1917495644,188340.266991323,0,816227.05203152,0,383897.206361696,184615.908580718,109762.129091142,110853.547920632,102298.77289059,43042.697218659,754684.272246818,2730005.04508266,"1_145_1"
"94",2017-10-16,2283685,36281.6902973686,210378.631633668,0,763062.577681971,0,273795.245674378,134102.073537566,74350.609371378,91165.0527743619,124492.072307441,127842.509906983,754684.272246818,2590154.73543193,"1_145_1"
"95",2017-10-23,2584721.66666667,36273.6158897422,224932.203991849,0,776985.418853206,0,305801.288283417,117106.451156817,43700.999031399,146804.40428552,124066.859724881,128348.184656543,754684.272246818,2658703.69812019,"1_145_1"
"96",2017-10-30,2565400,36265.5414821158,252004.448009445,-95878.4966368576,832269.259359415,0,223112.75352959,77030.7400425448,23047.1950234914,161224.774113361,129373.678292764,28597.3137319399,754684.272246818,2421731.47919463,"1_145_1"
"97",2017-11-06,3407085,36257.4670744894,297160.41250838,0,930003.03426029,0,226158.761829749,178443.117410163,115175.486272916,82993.4312438065,138417.907854699,56503.1047315923,754684.272246818,2815796.9954329,"1_145_1"
"98",2017-11-13,2803291.66666667,36249.392666863,333575.009855171,0,937208.238053613,0,146554.354754185,128393.910589836,79879.1926364978,226257.557682092,14600.9981561042,47834.1937224748,754684.272246818,2705237.12036366,"1_145_1"
"99",2017-11-20,3303155,36241.3182592367,326041.893880756,0,967920.414213755,0,290739.453266883,137868.780938754,62235.3943922593,82503.4200326875,847.018729776159,44768.1698922924,754684.272246818,2703850.13585322,"1_145_1"
"100",2017-11-27,3103743.33333333,36233.2438516103,272221.054120777,0,1000251.66750681,0,195727.617771836,93400.6860562785,94858.520251652,61153.9031749247,153985.320612233,119314.908361462,754684.272246818,2781831.1939544,"1_145_1"
"101",2017-12-04,2793875,36225.1694439839,211606.603854489,0,844501.997182711,0,238193.608816913,121444.456078402,60380.877321295,27425.7982555116,158188.679414254,58024.7782610325,754684.272246818,2510676.24087541,"1_145_1"
"102",2017-12-11,2260396.66666667,36210.3496376274,188154.137906356,0,755760.301388845,0,155437.016338029,80371.9509319164,33729.739384164,43635.5014031845,148157.638928058,111582.966567852,754684.272246818,2307723.87473285,"1_145_1"
"103",2017-12-18,2399176.66666667,36195.5298312709,206521.432046227,0,728018.603829444,0,310339.487748322,120407.564961767,17213.191360272,12366.99922768,163629.385852046,153128.291894584,754684.272246818,2502504.75899843,"1_145_1"
"104",2017-12-25,3827520,36180.7100249144,229770.053042302,298807.060818198,684617.980040435,0,390585.364854514,79569.6131848677,104604.327590327,148832.262768561,158977.542782295,217471.485329816,754684.272246818,3104100.67268305,"1_145_1"
"105",2018-01-01,3109461.66666667,36165.890218558,219272.657478332,133245.257434696,690369.901321249,0,279758.421240183,49728.3153771795,91499.7427839307,91067.227039515,168229.823410333,291565.646850835,754684.272246818,2805587.15540163,"1_145_1"
"106",2018-01-08,2228128.33333333,36151.0704122015,171762.72421356,0,736843.786357847,0,187098.406426278,39182.0288142518,57462.0583553897,154068.937714379,171670.908667,306478.214904681,754684.272246818,2615402.40811241,"1_145_1"
"107",2018-01-15,2202593.33333333,36136.250605845,115992.543655955,0,637171.366445454,0,263030.777659336,23239.9137651787,106161.63693224,2519.60653634649,166938.138382777,117728.334605011,754684.272246818,2223602.84083496,"1_145_1"
"108",2018-01-22,1918293.33333333,36120.0900107384,79140.5996007524,0,594762.104326246,0,174168.992377803,93012.5837610845,115393.956756114,25.964160282185,132012.851965781,38646.3987901758,754684.272246818,2017967.8139958,"1_145_1"
"109",2018-01-29,1862458.33333333,36103.9294156319,62981.5015795893,0,573141.984935448,0,218560.775680343,59187.243758789,80107.8577882825,0.265938174271253,135416.49611809,26412.5680509121,754684.272246818,1946596.89551208,"1_145_1"
"110",2018-02-05,1975951.66666667,36087.7688205253,51139.2627666463,0,647907.84538636,0,141009.958572039,36014.3644873114,81804.398636056,2485.35181566663,160737.891135231,164118.122639627,754684.272246818,2075989.23650628,"1_145_1"
"111",2018-02-12,1827318.33333333,36071.6082254187,30756.8486188462,0,575935.448977726,0,140895.706105291,92425.2591701538,49459.3366348906,25.6090296079639,19889.5787357127,84087.8161607244,754684.272246818,1784231.48390519,"1_145_1"
"112",2018-02-19,1656268.33333333,36055.4476303121,1526.01152304703,0,539933.372557498,0,87004.3094448254,58766.798241345,83830.1065004541,0.262300518775333,1176.42928659209,57117.9058150736,754684.272246818,1620094.91554648,"1_145_1"
"113",2018-02-26,1703790,36039.2870352056,-31814.4220236545,0,512312.088976178,0,135002.791925744,97274.5050158354,98072.8323840658,0.00268644821673016,105793.1185789,47820.6985338245,754684.272246818,1755185.17535936,"1_145_1"
"114",2018-03-05,1488115,36023.126440099,-66556.5767829338,0,497008.894889807,0,83095.0163089872,62258.3451395192,63249.4143534263,2.75142401926082e-05,118724.124099678,41012.7915939292,754684.272246818,1589499.40831684,"1_145_1"
"115",2018-03-12,1727330,36006.965835633,-99230.5987349028,0,483247.139972112,0,274056.239626968,116806.490759651,113085.40819449,2.81797134141378e-07,100188.380467083,17066.5479551979,754684.272246818,1795910.84632333,"1_145_1"
"116",2018-03-19,1208246.66666667,35990.8052311671,-122965.538127043,0,404342.92558229,0,182662.019541717,76801.2034131537,77713.6418979172,2.88612821030695e-09,93634.3241061089,17964.790840392,754684.272246818,1520828.44473252,"1_145_1"
"117",2018-03-26,1388960,35974.6446267012,-135140.813268654,11157.9683203266,419886.446734733,0,203550.493399818,115137.050377947,72694.1041037341,2.95593355542961e-11,76249.3665007219,44817.1350509768,754684.272246818,1599010.66809312,"1_145_1"
"118",2018-04-02,2408331.66666667,35958.4840222352,-146082.531595497,580316.031164727,359037.516951973,0,130198.296786118,75527.218930282,42464.5712389566,3.02742724765695e-13,91829.1022429707,21703.8380329089,754684.272246818,1945636.80002149,"1_145_1"
"119",2018-04-09,1131721.66666667,35942.3234177693,-171693.410087756,0,377803.46442136,0,79926.4830302245,63096.7649885856,22302.6901799152,3.10065012219927e-15,95280.7121368041,106084.117657363,754684.272246818,1363427.41799108,"1_145_1"
"120",2018-04-16,950015,35926.1628133034,-212912.947183171,0,317315.075326717,0,47747.922238585,38588.4643998563,10974.8842117453,15622.8580123772,87425.7892910982,71754.7688414214,754684.272246818,1167127.25019875,"1_145_1"
"121",2018-04-23,801298.333333333,35910.002201357,-247572.409390264,0,260904.332291852,0,28042.5057864463,140474.15144388,5215.8151216568,166.309830036471,61729.9878840879,12691.8707296752,754684.272246818,1052246.83814555,"1_145_1"
"122",2018-04-30,779838.333333334,35893.8415894105,-250879.730870302,200161.520544463,255367.493216481,0,16300.7724754447,95524.2964126701,2436.43268702097,299294.161021385,41919.6494307471,7055.19396540198,754684.272246818,1457757.90271954,"1_145_1"
