"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total"
"11","search_clicks_P",273757.045674765,9253493.6665568,0.0348913023030723,62948.9365071891,0.0324926150339704,9253493.6665568,0.0348913023030723,62948.9365071891,0.0324926150339704,TRUE,0.058483488322627,0.058483488322627,4688.16326530612,689160,13399.678361309,13399.678361309,0.151405150879056,0.151405150879056,0.8,0.887831146203462,0.217863299448703,0.840292823380737,0.0727607705635413,0.258701280579617,0.114481822990468,0.258701280579617,0.513208746828924,0,377363.062307952,0.005663498226,65481090.2533626,1e-04,"1_145_1",1,145,1,145,1,62948.9365071891,5970.83415074831,1282.67088544219,13.4272065508108,13.4272065508108,0.0744756547995169,0.0744756547995169
"12","newsletter",467349.73625519,7513998.33502196,0.0283323463395839,51115.6349321222,0.0263845704188622,7513998.33502196,0.0283323463395839,51115.6349321222,0.0263845704188622,TRUE,NA,NA,NA,NA,19184.3631606489,19184.3631606489,NA,NA,0.8,0.887831146203462,0.217863299448703,0.840292823380737,0.0727607705635413,0.258701280579617,0.114481822990468,0.258701280579617,0.513208746828924,0,377363.062307952,0.005663498226,65481090.2533626,1e-04,"1_145_1",1,145,1,145,1,51115.6349321222,30240.3381229163,11055.9749622674,NA,NA,NA,NA
"13","(Intercept)",658203.425888829,96755903.6056582,0.366764303660451,658203.425888829,0.331675002492473,96755903.6056582,0.366764303660451,658203.425888829,0.331675002492473,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.916911360643743,0.394594941575374,0.900307308638158,0.0626227265091963,0.227604198333734,0.0904494604850461,0.227604198333734,0.557366745783764,0,139839.009084622,0.002035766814,65481090.2533626,1e-04,"1_174_1",1,174,1,174,1,NA,NA,NA,NA,NA,NA,NA
"14","trend",0.00315530003956612,827013.288268357,0.00313488832708236,5625.94073651944,0.00283496535328389,827013.288268357,0.00313488832708236,5625.94073651944,0.00283496535328389,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.916911360643743,0.394594941575374,0.900307308638158,0.0626227265091963,0.227604198333734,0.0904494604850461,0.227604198333734,0.557366745783764,0,139839.009084622,0.002035766814,65481090.2533626,1e-04,"1_174_1",1,174,1,174,1,NA,NA,NA,NA,NA,NA,NA
"15","season",0.316735010828355,-2801699.9974287,-0.0106201638383783,-19059.1836559776,-0.0096041049589866,-2801699.9974287,-0.0106201638383783,-19059.1836559776,-0.0096041049589866,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.916911360643743,0.394594941575374,0.900307308638158,0.0626227265091963,0.227604198333734,0.0904494604850461,0.227604198333734,0.557366745783764,0,139839.009084622,0.002035766814,65481090.2533626,1e-04,"1_174_1",1,174,1,174,1,NA,NA,NA,NA,NA,NA,NA
"16","holiday",0.832333479026607,5176766.08716711,0.0196231231213663,225076.78639857,0.113418345686873,5176766.08716711,0.0196231231213663,225076.78639857,0.113418345686873,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.916911360643743,0.394594941575374,0.900307308638158,0.0626227265091963,0.227604198333734,0.0904494604850461,0.227604198333734,0.557366745783764,0,139839.009084622,0.002035766814,65481090.2533626,1e-04,"1_174_1",1,174,1,174,1,NA,NA,NA,NA,NA,NA,NA
"17","competitor_sales_B",0.126112821868219,99712567.6627588,0.377971876466345,678316.786821489,0.34181031746514,99712567.6627588,0.377971876466345,678316.786821489,0.34181031746514,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.916911360643743,0.394594941575374,0.900307308638158,0.0626227265091963,0.227604198333734,0.0904494604850461,0.227604198333734,0.557366745783764,0,139839.009084622,0.002035766814,65481090.2533626,1e-04,"1_174_1",1,174,1,174,1,NA,NA,NA,NA,NA,NA,NA
"18","events",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.916911360643743,0.394594941575374,0.900307308638158,0.0626227265091963,0.227604198333734,0.0904494604850461,0.227604198333734,0.557366745783764,0,139839.009084622,0.002035766814,65481090.2533626,1e-04,"1_174_1",1,174,1,174,1,NA,NA,NA,NA,NA,NA,NA
"19","tv_S",636782.532062791,23677186.5187632,0.0897510798057905,161069.296046008,0.0811643590207379,23677186.5187632,0.0897510798057905,161069.296046008,0.0811643590207379,TRUE,0.19058471587406,0.19058471587406,15277.6841723356,2245819.57333333,NA,NA,0.455388507842578,0.455388507842578,0.8,0.916911360643743,0.394594941575374,0.900307308638158,0.0626227265091963,0.227604198333734,0.0904494604850461,0.227604198333734,0.557366745783764,0,139839.009084622,0.002035766814,65481090.2533626,1e-04,"1_174_1",1,174,1,174,1,161069.296046008,30259.4166177333,14981.7324453977,10.5427821539646,10.5427821539647,0.0948516231670353,0.0948516231670353
"20","ooh_S",261666.308385095,10507425.38775,0.0398295960452063,71479.0842704083,0.0360189943124842,10507425.38775,0.0398295960452063,71479.0842704083,0.0360189943124842,TRUE,0.677056601743156,0.677056601743156,54274.3256235828,7978325.86666667,NA,NA,0.202091611045207,0.202091611045207,0.8,0.916911360643743,0.394594941575374,0.900307308638158,0.0626227265091963,0.227604198333734,0.0904494604850461,0.227604198333734,0.557366745783764,0,139839.009084622,0.002035766814,65481090.2533626,1e-04,"1_174_1",1,174,1,174,1,71479.0842704083,74916.0286060298,20641.702982447,1.31699626755657,1.31699626755657,0.759303594576852,0.759303594576853
"21","print_S",159726.80456608,6222098.26149068,0.0235855741214853,42327.1990577597,0.0213290804951736,6222098.26149068,0.0235855741214853,42327.1990577597,0.0213290804951736,TRUE,0.0483023616632638,0.0483023616632638,3872.02207105064,569187.244444444,NA,NA,0.119670976984733,0.119670976984733,0.8,0.916911360643743,0.394594941575374,0.900307308638158,0.0626227265091963,0.227604198333734,0.0904494604850461,0.227604198333734,0.557366745783764,0,139839.009084622,0.002035766814,65481090.2533626,1e-04,"1_174_1",1,174,1,174,1,42327.1990577597,5792.51415463869,1920.49208358804,10.9315490152345,10.9315490152345,0.0914783438839616,0.0914783438839617
"22","facebook_I",273329.22624677,5482740.45507755,0.0207829539100073,37297.5541161738,0.018794594296953,5482740.45507755,0.0207829539100073,37297.5541161738,0.018794594296953,TRUE,0.0255728323968936,0.0255728323968936,2049.97370833234,301346.135124854,7888925.57225707,7888925.57225707,0.105450746555015,0.105450746555015,0.8,0.916911360643743,0.394594941575374,0.900307308638158,0.0626227265091963,0.227604198333734,0.0904494604850461,0.227604198333734,0.557366745783764,0,139839.009084622,0.002035766814,65481090.2533626,1e-04,"1_174_1",1,174,1,174,1,37297.5541161738,2326.22426450611,276.25055617377,18.1941621809947,18.1941621809947,0.0549626847365678,0.0549626847365678
"23","search_clicks_P",127256.714324952,6103926.704192,0.0231376313364975,41523.3109128707,0.0209239935691983,6103926.704192,0.0231376313364975,41523.3109128707,0.0209239935691983,TRUE,0.058483488322627,0.058483488322627,4688.16326530612,689160,13399.678361309,13399.678361309,0.117398157572467,0.117398157572467,0.8,0.916911360643743,0.394594941575374,0.900307308638158,0.0626227265091963,0.227604198333734,0.0904494604850461,0.227604198333734,0.557366745783764,0,139839.009084622,0.002035766814,65481090.2533626,1e-04,"1_174_1",1,174,1,174,1,41523.3109128707,5108.21910766809,420.055842361969,8.85705308519356,8.85705308519356,0.112904370153512,0.112904370153512
"24","newsletter",221758.772407444,12145561.2268506,0.0460391370441478,82622.8654887798,0.0416344522666688,12145561.2268506,0.0460391370441478,82622.8654887798,0.0416344522666688,TRUE,NA,NA,NA,NA,19184.3631606489,19184.3631606489,NA,NA,0.8,0.916911360643743,0.394594941575374,0.900307308638158,0.0626227265091963,0.227604198333734,0.0904494604850461,0.227604198333734,0.557366745783764,0,139839.009084622,0.002035766814,65481090.2533626,1e-04,"1_174_1",1,174,1,174,1,82622.8654887798,31629.0351450355,12444.6719843866,NA,NA,NA,NA
"25","(Intercept)",806925.857457893,118618101.04631,0.448210537110469,806925.857457893,0.412488521969954,118618101.04631,0.448210537110469,806925.857457893,0.412488521969954,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.910131288839507,0.290808677452375,0.867868180226191,0.0651276496405739,0.246342277653345,0.104130517940909,0.246342277653345,0.542324025168713,0,238780.641683763,0.003546913427,65481090.2533626,1e-04,"1_178_1",1,178,1,178,1,NA,NA,NA,NA,NA,NA,NA
"26","trend",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.910131288839507,0.290808677452375,0.867868180226191,0.0651276496405739,0.246342277653345,0.104130517940909,0.246342277653345,0.542324025168713,0,238780.641683763,0.003546913427,65481090.2533626,1e-04,"1_178_1",1,178,1,178,1,NA,NA,NA,NA,NA,NA,NA
"27","season",0.307798313216395,-2722649.86144605,-0.010287808909418,-18521.4276288847,-0.00946787890956981,-2722649.86144605,-0.010287808909418,-18521.4276288847,-0.00946787890956981,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.910131288839507,0.290808677452375,0.867868180226191,0.0651276496405739,0.246342277653345,0.104130517940909,0.246342277653345,0.542324025168713,0,238780.641683763,0.003546913427,65481090.2533626,1e-04,"1_178_1",1,178,1,178,1,NA,NA,NA,NA,NA,NA,NA
"28","holiday",0.683499119710241,4251078.62735801,0.0160631321700478,184829.505537305,0.0944820999982625,4251078.62735801,0.0160631321700478,184829.505537305,0.0944820999982625,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.910131288839507,0.290808677452375,0.867868180226191,0.0651276496405739,0.246342277653345,0.104130517940909,0.246342277653345,0.542324025168713,0,238780.641683763,0.003546913427,65481090.2533626,1e-04,"1_178_1",1,178,1,178,1,NA,NA,NA,NA,NA,NA,NA
"29","competitor_sales_B",0.115547303574438,91358817.8841548,0.345208568274482,621488.557035067,0.317695726247082,91358817.8841548,0.345208568274482,621488.557035067,0.317695726247082,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.910131288839507,0.290808677452375,0.867868180226191,0.0651276496405739,0.246342277653345,0.104130517940909,0.246342277653345,0.542324025168713,0,238780.641683763,0.003546913427,65481090.2533626,1e-04,"1_178_1",1,178,1,178,1,NA,NA,NA,NA,NA,NA,NA
"30","events",0,0,0,0,0,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.910131288839507,0.290808677452375,0.867868180226191,0.0651276496405739,0.246342277653345,0.104130517940909,0.246342277653345,0.542324025168713,0,238780.641683763,0.003546913427,65481090.2533626,1e-04,"1_178_1",1,178,1,178,1,NA,NA,NA,NA,NA,NA,NA
"31","tv_S",829065.24983695,19407836.794029,0.0733344816421226,132026.100639653,0.0674897831206863,19407836.794029,0.0733344816421226,132026.100639653,0.0674897831206863,TRUE,0.19058471587406,0.19058471587406,15277.6841723356,2245819.57333333,NA,NA,0.419393234129256,0.419393234129256,0.8,0.910131288839507,0.290808677452375,0.867868180226191,0.0651276496405739,0.246342277653345,0.104130517940909,0.246342277653345,0.542324025168713,0,238780.641683763,0.003546913427,65481090.2533626,1e-04,"1_178_1",1,178,1,178,1,132026.100639653,26886.4871155173,11608.8029431817,8.64176135272664,8.64176135272663,0.115717150611256,0.115717150611256
"32","ooh_S",324081.698381527,9531788.255688,0.0360168296071207,64842.0969774694,0.0331463175909745,9531788.255688,0.0360168296071207,64842.0969774694,0.0331463175909745,TRUE,0.677056601743156,0.677056601743156,54274.3256235828,7978325.86666667,NA,NA,0.205976974456944,0.205976974456944,0.8,0.910131288839507,0.290808677452375,0.867868180226191,0.0651276496405739,0.246342277653345,0.104130517940909,0.246342277653345,0.542324025168713,0,238780.641683763,0.003546913427,65481090.2533626,1e-04,"1_178_1",1,178,1,178,1,64842.0969774694,78194.1555691891,23919.8299456064,1.19471032080949,1.19471032080949,0.837022985892042,0.837022985892042
"33","print_S",243072.607425418,5441110.75587633,0.0205597893816961,37014.3588835124,0.0189211908955616,5441110.75587633,0.0205597893816961,37014.3588835124,0.0189211908955616,TRUE,0.0483023616632638,0.0483023616632638,3872.02207105064,569187.244444444,NA,NA,0.117579566511221,0.117579566511221,0.8,0.910131288839507,0.290808677452375,0.867868180226191,0.0651276496405739,0.246342277653345,0.104130517940909,0.246342277653345,0.542324025168713,0,238780.641683763,0.003546913427,65481090.2533626,1e-04,"1_178_1",1,178,1,178,1,37014.3588835124,4454.3494741341,582.327403083456,9.55943902289505,9.55943902289506,0.104608648855333,0.104608648855333
"34","facebook_I",360173.603088543,4887635.88598001,0.0184684283961031,33249.2237141497,0.0169965096789746,4887635.88598001,0.0184684283961031,33249.2237141497,0.0169965096789746,TRUE,0.0255728323968936,0.0255728323968936,2049.97370833234,301346.135124854,7888925.57225707,7888925.57225707,0.105619263147247,0.105619263147247,0.8,0.910131288839507,0.290808677452375,0.867868180226191,0.0651276496405739,0.246342277653345,0.104130517940909,0.246342277653345,0.542324025168713,0,238780.641683763,0.003546913427,65481090.2533626,1e-04,"1_178_1",1,178,1,178,1,33249.2237141497,2434.77454322456,384.800834892227,16.2193415354571,16.2193415354571,0.0616547840622197,0.0616547840622197
"35","search_clicks_P",323569.122298386,7007617.55828554,0.0264789943689764,47670.8677434391,0.0243686400612617,7007617.55828554,0.0264789943689764,47670.8677434391,0.0243686400612617,TRUE,0.058483488322627,0.058483488322627,4688.16326530612,689160,13399.678361309,13399.678361309,0.151430961755332,0.151430961755332,0.8,0.910131288839507,0.290808677452375,0.867868180226191,0.0651276496405739,0.246342277653345,0.104130517940909,0.246342277653345,0.542324025168713,0,238780.641683763,0.003546913427,65481090.2533626,1e-04,"1_178_1",1,178,1,178,1,47670.8677434391,5541.13972168981,852.97645638369,10.1683463321805,10.1683463321805,0.0983444079628979,0.0983444079628979
"36","newsletter",466150.839099988,6866838.91107266,0.0259470479584,46713.1898712426,0.023879089346813,6866838.91107266,0.0259470479584,46713.1898712426,0.023879089346813,TRUE,NA,NA,NA,NA,19184.3631606489,19184.3631606489,NA,NA,0.8,0.910131288839507,0.290808677452375,0.867868180226191,0.0651276496405739,0.246342277653345,0.104130517940909,0.246342277653345,0.542324025168713,0,238780.641683763,0.003546913427,65481090.2533626,1e-04,"1_178_1",1,178,1,178,1,46713.1898712426,25042.3040569643,5857.94089631546,NA,NA,NA,NA
