date,channel,spend,platform_reported_conversions
2024-03-13,Meta,5562.2,30
2024-03-13,TikTok,1941.01,10
2024-03-13,Microsoft,1069.5,4
2024-03-14,Google,4516.99,30
2024-03-14,Meta,5949.22,32
2024-03-14,TikTok,1928.0,13
2024-03-14,Microsoft,903.86,8
2024-03-15,Google,3523.84,38
2024-03-15,Meta,4849.79,18
2024-03-15,TikTok,1581.42,19
2024-03-15,Microsoft,837.9,9
2024-03-16,Google,2800.0,27
2024-03-16,Meta,3626.97,35
2024-03-16,TikTok,1192.83,5
2024-03-16,Microsoft,710.05,9
2024-03-17,Google,2776.99,37
2024-03-17,Meta,3023.29,28
2024-03-17,TikTok,1198.45,18
2024-03-17,Microsoft,545.0,16
2024-03-18,Google,3883.83,36
2024-03-18,Meta,5304.03,29
2024-03-18,TikTok,1820.65,16
2024-03-18,Microsoft,929.91,9
2024-03-19,Google,4424.86,26
2024-03-19,Meta,5070.71,24
2024-03-19,TikTok,1725.58,7
2024-03-19,Microsoft,942.06,7
2024-03-20,Google,3965.53,45
2024-03-20,Meta,4604.1,45
2024-03-20,TikTok,1670.9,20
2024-03-20,Microsoft,848.37,10
2024-03-21,Google,4113.95,32
2024-03-21,Meta,5199.1,22
2024-03-21,TikTok,1868.38,11
2024-03-21,Microsoft,914.66,4
2024-03-22,Google,4152.14,35
2024-03-22,Meta,5364.11,47
2024-03-22,TikTok,1785.11,22
2024-03-22,Microsoft,905.71,5
2024-03-23,Google,2813.24,42
2024-03-23,Meta,3411.24,44
2024-03-23,TikTok,1236.9,18
2024-03-23,Microsoft,687.0,15
2024-03-24,Google,2784.55,26
2024-03-24,Meta,3562.26,27
2024-03-24,TikTok,1134.52,12
2024-03-24,Microsoft,561.85,15
2024-03-25,Google,4752.05,25
2024-03-25,Meta,5772.09,39
2024-03-25,TikTok,1970.42,12
2024-03-25,Microsoft,1006.27,7
2024-03-26,Google,3626.72,34
2024-03-26,Meta,5267.21,34
2024-03-26,TikTok,1590.86,21
2024-03-26,Microsoft,946.08,13
2024-03-27,Google,3750.99,27
2024-03-27,Meta,4534.87,32
2024-03-27,TikTok,1768.21,14
2024-03-27,Microsoft,746.45,6
2024-03-28,Google,4138.17,34
2024-03-28,Meta,5014.38,32
2024-03-28,TikTok,1775.08,16
2024-03-28,Microsoft,760.19,11
2024-03-29,Google,3809.38,40
2024-03-29,Meta,4373.37,45
2024-03-29,TikTok,1735.04,15
2024-03-29,Microsoft,779.76,7
2024-03-30,Google,2792.38,30
2024-03-30,Meta,3348.63,43
2024-03-30,TikTok,1399.96,21
2024-03-30,Microsoft,703.18,9
