week,cash_sales,paid_spend,cash_mer,break_even_mer,email_attributed_revenue,email_lastclick_share,sms_attributed_revenue,site_sessions,site_orders,site_cvr,organic_sessions,promo_flag,annotation
2025-02-24,211324,48179,4.3862,3.2,51756,0.2449,10131,99723,2058,0.0206,26216,0,
2025-03-03,208379,47996,4.3416,3.2,54224,0.2602,11359,98267,2164,0.022,27680,0,
2025-03-10,219356,68201,3.2163,3.2,66263,0.3021,12318,98813,2099,0.0212,26566,0,"Paid test: spend jumped, cash did not; last-click email share spiked — do not fund from Klaviyo"
2025-03-17,213930,46985,4.5532,3.2,51335,0.24,10461,97739,2050,0.021,27617,0,
2025-03-24,213029,48374,4.4038,3.2,53075,0.2491,10806,97095,2059,0.0212,28380,0,
2025-03-31,211593,47713,4.4347,3.2,54920,0.2596,11908,97982,2080,0.0212,28941,0,
2025-04-07,268914,72606,3.7037,3.2,75503,0.2808,14545,104014,2658,0.0256,28339,1,
2025-04-14,273180,71725,3.8087,3.2,76131,0.2787,14087,108203,2736,0.0253,27808,1,
2025-04-21,218400,47981,4.5518,3.2,56394,0.2582,10223,94094,2031,0.0216,28527,0,
2025-04-28,218693,48632,4.4969,3.2,55328,0.253,10036,98046,2105,0.0215,28443,0,
2025-05-05,218837,46489,4.7073,3.2,52553,0.2401,10570,94700,2068,0.0218,27890,0,
2025-05-12,218982,48627,4.5033,3.2,52906,0.2416,11029,99271,2160,0.0218,30091,0,
2025-05-19,220789,49661,4.4459,3.2,58248,0.2638,10759,96158,2018,0.021,29279,0,
2025-05-26,218369,48120,4.538,3.2,54302,0.2487,11092,95774,2029,0.0212,27938,0,
2025-06-02,216577,47627,4.5474,3.2,55757,0.2574,10822,94747,2040,0.0215,29044,0,
2025-06-09,219659,48997,4.4831,3.2,52527,0.2391,11658,97849,2088,0.0213,27654,0,
2025-06-16,217454,47697,4.5591,3.2,50726,0.2333,12854,96119,2016,0.021,27799,0,
2025-06-23,213175,48856,4.3633,3.2,54505,0.2557,9604,97738,2179,0.0223,28054,0,
2025-06-30,216222,47692,4.5337,3.2,52842,0.2444,12737,93104,1952,0.021,27703,0,
2025-07-07,192771,46675,4.1301,3.2,47826,0.2481,9121,92458,1437,0.0155,27718,0,
2025-07-14,182512,44732,4.0801,3.2,44217,0.2423,8585,91665,1596,0.0174,27731,0,Site CVR drop; shipping tickets spike (see VoC)
2025-07-21,191832,42024,4.5648,3.2,47049,0.2453,10273,95326,1451,0.0152,26068,0,
2025-07-28,184155,43172,4.2656,3.2,49894,0.2709,8554,89603,1367,0.0153,25781,0,
2025-08-04,175288,45324,3.8674,3.2,44695,0.255,9072,91710,1426,0.0155,23057,0,
2025-08-11,177294,42811,4.1413,3.2,45579,0.2571,9433,91821,1352,0.0147,24906,0,Spend paced so MER held; site CVR still down (shipping VoC)
2025-08-18,183232,43658,4.197,3.2,42739,0.2333,9742,92759,1474,0.0159,25126,0,
2025-08-25,190494,50375,3.7815,3.2,54108,0.284,10037,96525,1977,0.0205,24056,0,
2025-09-01,200555,49246,4.0725,3.2,53894,0.2687,10333,102361,2160,0.0211,22862,0,
2025-09-08,195587,48980,3.9932,3.2,51626,0.264,10618,103129,2114,0.0205,24237,0,
2025-09-15,206586,48987,4.2172,3.2,49688,0.2405,10239,100785,2102,0.0209,22288,0,
2025-09-22,202768,46231,4.386,3.2,50927,0.2512,9993,101415,2240,0.0221,24103,0,
2025-09-29,190497,49115,3.8786,3.2,49787,0.2614,10661,97463,1989,0.0204,22160,0,
2025-10-06,190324,49644,3.8338,3.2,50982,0.2679,11525,96006,2012,0.021,22630,0,
2025-10-13,188241,48977,3.8435,3.2,50532,0.2684,9327,98702,2105,0.0213,23836,0,
2025-10-20,187487,49511,3.7868,3.2,53263,0.2841,9638,97786,2009,0.0205,21762,0,
2025-10-27,193857,48352,4.0093,3.2,45302,0.2337,10855,98912,2001,0.0202,22371,0,
2025-11-03,189075,49893,3.7896,3.2,52687,0.2787,10347,101911,2178,0.0214,22417,0,
2025-11-10,192967,48287,3.9963,3.2,53749,0.2785,10195,98592,2086,0.0212,22498,0,
2025-11-17,244519,74246,3.2934,3.2,73306,0.2998,12993,109157,2906,0.0266,21652,1,
2025-11-24,254656,73520,3.4638,3.2,74512,0.2926,12275,107623,2889,0.0268,22341,1,BFCM 2025: cash up; last-click email over-claims
2025-12-01,247139,74930,3.2983,3.2,75899,0.3071,14062,105108,2793,0.0266,22482,1,
2025-12-08,197166,48332,4.0794,3.2,50909,0.2582,11459,98336,2098,0.0213,22390,0,
2025-12-15,199364,51908,3.8407,3.2,53305,0.2674,11267,99864,2040,0.0204,23637,0,
2025-12-22,203090,48210,4.2126,3.2,52545,0.2587,9653,101813,2151,0.0211,24545,0,
