week,week_start,y_cash,x_search_index,x_category_demand,true_treated,true_lift
32,2024-08-05,58936.44461508099,98.43901949225506,79.44513831610448,0,0.0
33,2024-08-12,56087.99636902467,101.31378250444882,78.92581571423639,0,0.0
34,2024-08-19,55084.54337364637,102.29054325183598,77.01984580262719,0,0.0
35,2024-08-26,59576.95563705522,93.90094469475434,77.76760569375803,0,0.0
36,2024-09-02,58835.349745246545,95.37935059231332,81.14740744848491,0,0.0
37,2024-09-09,55375.84540889079,97.71530345088823,80.44476139880753,0,0.0
38,2024-09-16,55887.8730369001,97.86773898687898,83.16958506957776,0,0.0
39,2024-09-23,58601.24593361836,97.56608792313567,84.68180209473616,0,0.0
40,2024-09-30,55219.10370793707,97.9034315676872,84.23833326799347,0,0.0
41,2024-10-07,55137.802073823084,93.52636369419652,82.68230202451568,0,0.0
42,2024-10-14,54350.81471214493,97.66083464449753,82.93101210402881,0,0.0
43,2024-10-21,57129.41895396241,95.78777945721335,84.25363744741344,0,0.0
44,2024-10-28,57289.725996818095,98.18090043840363,87.63754816249819,0,0.0
45,2024-11-04,59857.66481685852,102.25147755303183,87.93875923919586,0,0.0
46,2024-11-11,56053.921456854805,100.74139806163755,87.4350024637329,0,0.0
47,2024-11-18,54814.77250823311,102.89754389371336,87.78647146426866,0,0.0
48,2024-11-25,56810.65943355035,102.20010899541752,89.98937408177443,0,0.0
49,2024-12-02,58598.43333376041,106.45379020682647,88.30079405422332,0,0.0
50,2024-12-09,53929.43317781107,100.58180218402326,90.9461928323702,0,0.0
51,2024-12-16,59494.32281750804,107.77999153415152,89.44904057147306,0,0.0
52,2024-12-23,58111.450232388735,106.55710880135405,88.76621603829071,0,0.0
53,2024-12-30,58078.18805360105,108.01351062350828,88.63763870118309,0,0.0
54,2025-01-06,58846.651693352775,112.34665376543033,90.00507434959557,0,0.0
55,2025-01-13,55857.74877802255,109.39191249747448,90.13439947094886,0,0.0
56,2025-01-20,55980.84064729114,113.69764586996686,87.43852737498945,0,0.0
57,2025-01-27,61280.71108523317,111.43863364682262,90.78706429542349,0,0.0
58,2025-02-03,57033.185811662246,115.6891992998795,85.58290208674127,0,0.0
59,2025-02-10,60608.96020599225,115.79799570371276,88.34972399239632,0,0.0
60,2025-02-17,57504.946547726744,116.10732156130756,89.97610407967218,0,0.0
61,2025-02-24,54404.12564296789,116.27295734328385,84.70620773302599,0,0.0
62,2025-03-03,57110.72307809199,117.92518301275544,86.56628910657236,0,0.0
63,2025-03-10,57563.15609687186,118.83528407436503,86.23748580752867,0,0.0
64,2025-03-17,56909.1659672978,117.533036704332,82.51110797714146,0,0.0
65,2025-03-24,59542.87587435398,119.35465801877909,85.63856237421216,0,0.0
66,2025-03-31,58071.482335520726,115.56158763085428,84.79492446769902,0,0.0
67,2025-04-07,58904.15668280546,116.22664826663858,82.66484171298997,0,0.0
68,2025-04-14,59576.6200139763,118.07607927911111,84.80157699980501,0,0.0
69,2025-04-21,58274.28026529051,121.53580432886866,80.14774294854557,0,0.0
70,2025-04-28,60183.62468496365,115.98160355790122,79.6282989481347,0,0.0
71,2025-05-05,58383.38360314595,116.60331799695491,83.99349574674333,0,0.0
72,2025-05-12,57429.831484860544,114.70425462759515,82.59029065450332,0,0.0
73,2025-05-19,55506.33477341812,112.35545133070444,80.22256655995899,0,0.0
74,2025-05-26,60810.081594430594,115.49498888000909,80.2652824101554,0,0.0
75,2025-06-02,59652.02766895275,113.39933223634434,78.54794225809405,0,0.0
76,2025-06-09,57090.432921421576,114.04143515960381,79.421801289041,0,0.0
77,2025-06-16,57521.9569681059,110.04234743779705,79.13428100872687,0,0.0
78,2025-06-23,56201.77892700407,111.71914583692303,82.16383753070659,0,0.0
79,2025-06-30,56102.541082886826,111.33290466776268,80.62221298373872,0,0.0
80,2025-07-07,61525.90312946361,104.97833842978031,80.51329436702974,1,0.12
81,2025-07-14,62521.46221372282,110.96714910382453,82.79484556813416,1,0.12
82,2025-07-21,63272.665263986506,108.49515794718722,82.6249570757295,1,0.12
83,2025-07-28,65456.632789371426,107.86853597186256,84.16165286128468,1,0.12
84,2025-08-04,61021.00558707201,106.78692023893349,80.55468699089106,1,0.12
85,2025-08-11,63864.49183289608,105.61807665042603,85.42729980132059,1,0.12
86,2025-08-18,62758.34601270843,106.8757842622249,84.57886166822837,1,0.12
87,2025-08-25,63113.589569641525,102.75526940563908,83.91493679144891,1,0.12
88,2025-09-01,68400.63621649703,106.2744762077009,86.56673382270006,1,0.12
89,2025-09-08,61709.4987630621,105.96332403334023,88.70598449390506,1,0.12
90,2025-09-15,64719.452250945076,105.44490606008532,86.35379081435397,1,0.12
91,2025-09-22,66127.34592536911,106.4015509081168,87.00469508235942,1,0.12
92,2025-09-29,62382.200247746674,108.46558169671232,87.3277813615756,1,0.12
93,2025-10-06,64069.14056845708,106.45622105350864,85.66413452020589,1,0.12
94,2025-10-13,65849.86894155582,104.03921676719108,91.26473603928605,1,0.12
95,2025-10-20,65684.89478560592,105.0773011143603,90.80755904150493,1,0.12
96,2025-10-27,62041.29193791672,106.24853788556942,91.23739682857065,1,0.12
97,2025-11-03,65832.92961520712,106.00806889353363,92.03486185360926,1,0.12
98,2025-11-10,61209.87373253637,106.88756703286771,90.80924030501878,1,0.12
99,2025-11-17,62937.75195666132,107.75168214376455,95.36759017147058,1,0.12
100,2025-11-24,62847.763531820776,113.52780101444418,92.62250877616277,1,0.12
101,2025-12-01,63165.12833131749,114.57249804686683,92.24590599084374,1,0.12
102,2025-12-08,60668.102086660045,111.69894543250903,91.216637818077,1,0.12
103,2025-12-15,65611.61312825867,115.05609770104842,97.16789112514498,1,0.12
104,2025-12-22,71707.97908026438,115.83888573759363,94.57701852807715,1,0.12
