spend_multiplier,channel,metric,spend,incremental_outcome
1.2000000000000002,Channel3,mean,4.4928372e+07,29182738.0
1.2000000000000002,Channel3,ci_lo,4.4928372e+07,9143844.0
1.2000000000000002,Channel3,ci_hi,4.4928372e+07,60542636.0
1.4000000000000001,Channel0,mean,3.8019652e+07,31645770.0
1.4000000000000001,Channel0,ci_lo,3.8019652e+07,7633477.5
1.4000000000000001,Channel0,ci_hi,3.8019652e+07,66665556.0
1.4000000000000001,Channel1,mean,4.1152184e+07,26449990.0
1.4000000000000001,Channel1,ci_lo,4.1152184e+07,5573865.5
1.4000000000000001,Channel1,ci_hi,4.1152184e+07,65027252.0
1.4000000000000001,Channel2,mean,3.8848716e+07,39875188.0
1.4000000000000001,Channel2,ci_lo,3.8848716e+07,13260983.0
1.4000000000000001,Channel2,ci_hi,3.8848716e+07,75823912.0
1.4000000000000001,Channel3,mean,5.241643e+07,31113928.0
1.4000000000000001,Channel3,ci_lo,5.241643e+07,9721408.0
1.4000000000000001,Channel3,ci_hi,5.241643e+07,65242424.0
1.6,Channel0,mean,4.3451036e+07,33462466.0
1.6,Channel0,ci_lo,4.3451036e+07,7934241.5
1.6,Channel0,ci_hi,4.3451036e+07,70213080.0
1.6,Channel1,mean,4.7031068e+07,27926300.0
1.6,Channel1,ci_lo,4.7031068e+07,5832767.0
1.6,Channel1,ci_hi,4.7031068e+07,69061968.0
1.6,Channel2,mean,4.4398536e+07,42322276.0
1.6,Channel2,ci_lo,4.4398536e+07,13925724.0
1.6,Channel2,ci_hi,4.4398536e+07,81517560.0
1.6,Channel3,mean,5.9904492e+07,32767734.0
1.6,Channel3,ci_lo,5.9904492e+07,10139426.0
1.6,Channel3,ci_hi,5.9904492e+07,69283760.0
1.8,Channel0,mean,4.8882412e+07,35049448.0
1.8,Channel0,ci_lo,4.8882412e+07,8055248.0
1.8,Channel0,ci_hi,4.8882412e+07,73249392.0
1.8,Channel1,mean,5.290995e+07,29208010.0
1.8,Channel1,ci_lo,5.290995e+07,5983448.5
1.8,Channel1,ci_hi,5.290995e+07,72580008.0
1.8,Channel2,mean,4.9948348e+07,44468588.0
1.8,Channel2,ci_lo,4.9948348e+07,14499076.0
1.8,Channel2,ci_hi,4.9948348e+07,85957832.0
1.8,Channel3,mean,6.739255e+07,34202352.0
1.8,Channel3,ci_lo,6.739255e+07,10495437.0
1.8,Channel3,ci_hi,6.739255e+07,72785224.0
2.0,Channel0,mean,5.431379e+07,36449684.0
2.0,Channel0,ci_lo,5.431379e+07,8141162.5
2.0,Channel0,ci_hi,5.431379e+07,75821960.0
2.0,Channel1,mean,5.8788836e+07,30332428.0
2.0,Channel1,ci_lo,5.8788836e+07,6292647.5
2.0,Channel1,ci_hi,5.8788836e+07,74959736.0
2.0,Channel2,mean,5.549817e+07,46368604.0
2.0,Channel2,ci_lo,5.549817e+07,14994017.0
2.0,Channel2,ci_hi,5.549817e+07,90477544.0
2.0,Channel3,mean,7.4880616e+07,35460172.0
2.0,Channel3,ci_lo,7.4880616e+07,10799096.0
2.0,Channel3,ci_hi,7.4880616e+07,75691648.0
